Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
 ETG（G）,ETG-BT1121,ETG-BT1121,3672MB,Tablet,Spreadtrum T618,2 核 ARM Mali G52 (850 MHz),1200x1920,280,arm64-v8a;armeabi;armeabi-v7a,30,3.2
1&1,1&1 Puck,diw362_1u1,1486MB,TV,Broadcom BCM72604B0,未知,1080x1920,320,armeabi;armeabi-v7a,28,3.1
1&1,DIW387-1&1,diw387_1u1,1755MB,TV,Broadcom BCM7211,未知,1080x1920,320,armeabi;armeabi-v7a,28,3.1
10.or,D,10or_D,3007MB,Phone,Qualcomm MSM8917,Qualcomm Adreno 308 (400 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,27,3.0
10.or,E,E,2978MB,Phone,Qualcomm MSM8937,Qualcomm Adreno 505 (450 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2
10.or,G,G,3756MB,Phone,Qualcomm MSM8953,Qualcomm Adreno 506 (650 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2
10.or,10or_G2,G2,6026MB,Phone,Qualcomm SDM636,Qualcomm Adreno 509 (370 MHz),1080x2246,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2
3222222 Satelital,G706,G706,965MB,Tablet,Mediatek MT8321,未知,600x1024,160,armeabi;armeabi-v7a,27,2.0
3BBTV,TBBTV01,TBBTV01,2083MB,TV,Amlogic AMLS905X2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
3Go,GT10K3IPS,GT10K3IPS,1029MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),600x1024,160,armeabi;armeabi-v7a,27,2.0
3Go,GT70053G,GT70053G,1002MB,Tablet,Mediatek MT8321,未知,600x1024,160,armeabi;armeabi-v7a,27,2.0
3Go,GT7007EQC,GT7007EQC,1029MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),600x1024,160,armeabi;armeabi-v7a,27,2.0
4good,A103,4GOOD_Light_A103,975MB,Phone,Mediatek MT6737M,ARM Mali T720 (600 MHz),540x960,240,armeabi;armeabi-v7a,23,3.0
4good,4GOOD Light B100,4GOOD_Light_B100,951MB,Phone,Mediatek MT6737M,ARM Mali T720 (600 MHz),540x960,240,armeabi;armeabi-v7a,24,3.1
5STAR,5Star_Note_5,5Star_Note_5,4053MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1560,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
7mobile,Kamba 2,7mobile_Kamba_2,3024MB,Phone,Mediatek MT6739CH,Imagination Tech PowerVR GE8100 (570 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,27,3.2
7mobile,DRENA,DRENA,970MB,Phone,Spreadtrum SC7731C,ARM Mali 400 (512 MHz),480x800,240,armeabi;armeabi-v7a,24,2.0
7mobile,KAMBA,KAMBA,2052MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,24,2.0
7mobile,SWEGUE,SWEGUE,1925MB,Phone,Mediatek MT6737T,ARM Mali T720 (600 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,24,3.1
7mobile,Swegue 2,Swegue_2,1952MB,Phone,Mediatek MT6739CH,Imagination Tech PowerVR GE8100 (570 MHz),480x996,240,armeabi;armeabi-v7a,27,3.2
